SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;Discharge.start;Discharge.end;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;Water_Level.start;Water_Level.end
85;Segromigno Monte;TOS01001849;OD:TOS01001849;43.895842;10.594479;NA;NA;Toscana;NA;NA;NA;2000;2013;NA;NA;NA;NA;NA;NA
86;Montecarlo;TOS01001861;OD:TOS01001861;43.856053;10.66658;NA;NA;Toscana;NA;NA;NA;2000;2014;NA;NA;NA;NA;NA;NA
87;Orentano;TOS01001889;OD:TOS01001889;43.776315;10.658026;NA;NA;Toscana;NA;NA;NA;2000;2015;2001;2015;2001;2015;NA;NA
88;Cenaia;TOS01001916;OD:TOS01001916;43.608236;10.537294;NA;NA;Toscana;NA;NA;NA;2000;2014;2001;2014;2001;2014;NA;NA
89;Lorenzana;TOS01001921;OD:TOS01001921;43.53704;10.53536;NA;NA;Toscana;NA;NA;NA;2001;2014;NA;NA;NA;NA;NA;NA
90;Valle Benedetta;TOS01001961;OD:TOS01001961;43.517376;10.406518;NA;NA;Toscana;NA;NA;NA;2001;2015;2001;2015;2001;2015;NA;NA
91;Miemo;TOS01002011;OD:TOS01002011;43.410186;10.670702;NA;NA;Toscana;NA;NA;NA;2006;2015;2008;2015;2008;2015;NA;NA
92;Gerfalco;TOS01002071;OD:TOS01002071;43.142435;10.975141;NA;NA;Toscana;NA;NA;NA;2006;2015;2008;2015;2008;2015;NA;NA
93;Anqua;TOS01002085;OD:TOS01002085;43.215242;10.98731;NA;NA;Toscana;NA;NA;NA;2006;2015;2008;2015;2008;2015;NA;NA
94;Montecastelli P.;TOS01002104;OD:TOS01002104;43.263688;10.957532;NA;NA;Toscana;NA;NA;NA;2006;2014;2008;2014;2008;2014;NA;NA
95;Ponsano;TOS01002115;OD:TOS01002115;43.365308;10.990347;NA;NA;Toscana;NA;NA;NA;2006;2015;2008;2015;2008;2015;NA;NA
96;Montecatini V. Cecina;TOS01002131;OD:TOS01002131;43.387148;10.743084;NA;NA;Toscana;NA;NA;NA;2006;2015;2008;2015;2008;2015;NA;NA
97;Libbiano;TOS01002161;OD:TOS01002161;43.281767;10.806942;NA;NA;Toscana;NA;NA;NA;2004;2015;2005;2015;2005;2015;NA;NA
98;Canneto;TOS01002171;OD:TOS01002171;43.202337;10.739307;NA;NA;Toscana;NA;NA;NA;2006;2015;2008;2015;2008;2015;NA;NA
99;Sassa;TOS01002181;OD:TOS01002181;43.257956;10.691371;NA;NA;Toscana;NA;NA;NA;2006;2015;2008;2015;2008;2015;NA;NA
100;Montescudaio;TOS01002201;OD:TOS01002201;43.326721;10.632581;NA;NA;Toscana;NA;NA;NA;2006;2014;2008;2014;2008;2014;NA;NA
101;Riparbella;TOS01002231;OD:TOS01002231;43.367253;10.603037;NA;NA;Toscana;NA;NA;NA;2006;2015;2008;2015;2008;2015;NA;NA
102;Sasso Pisano;TOS01002309;OD:TOS01002309;43.169745;10.8672;NA;NA;Toscana;NA;NA;NA;2006;2013;NA;NA;NA;NA;NA;NA
103;Serrazzano;TOS01002331;OD:TOS01002331;43.222155;10.820042;NA;NA;Toscana;NA;NA;NA;2006;2014;2008;2014;2008;2014;NA;NA
104;Lago;TOS01002351;OD:TOS01002351;43.154992;10.807232;NA;NA;Toscana;NA;NA;NA;2006;2015;NA;NA;NA;NA;NA;NA
105;Lustignano;TOS01002361;OD:TOS01002361;43.1859;10.797592;NA;NA;Toscana;NA;NA;NA;2006;2014;NA;NA;NA;NA;NA;NA
106;Monterotondo;TOS01002371;OD:TOS01002371;43.150218;10.858556;NA;NA;Toscana;NA;NA;NA;1996;2015;NA;NA;NA;NA;NA;NA
107;Monteverdi;TOS01002376;OD:TOS01002376;43.184386;10.716197;NA;NA;Toscana;NA;NA;NA;1996;2014;NA;NA;NA;NA;NA;NA
108;Sassetta;TOS01002381;OD:TOS01002381;43.124135;10.639867;NA;NA;Toscana;NA;NA;NA;2006;2015;NA;NA;NA;NA;NA;NA
109;Santa Costanza;TOS01002401;OD:TOS01002401;43.117024;10.903623;NA;NA;Toscana;NA;NA;NA;2006;2014;NA;NA;NA;NA;NA;NA
110;Campiano;TOS01002779;OD:TOS01002779;43.101954;11.03847;NA;NA;Toscana;NA;NA;NA;2004;2015;2005;2015;2005;2015;NA;NA
111;Carrara;TOS01004005;OD:TOS01004005;44.081923;10.102669;NA;NA;Toscana;NA;2006;2006;NA;NA;NA;NA;NA;NA;2004;2015
112;Avenza;TOS01004007;OD:TOS01004007;44.045181;10.060135;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004;2015
113;Stia;TOS01004379;OD:TOS01004379;43.802706;11.718598;NA;NA;Toscana;NA;1940;2013;1991;2015;NA;NA;NA;NA;1998;2015
114;Subbiano;TOS01004411;OD:TOS01004411;43.572457;11.868619;NA;NA;Toscana;NA;1940;2015;NA;NA;NA;NA;NA;NA;1995;2015
115;Ponte Ferrovia FI-Roma;TOS01004521;OD:TOS01004521;43.46846;11.825468;NA;NA;Toscana;NA;1940;2013;NA;NA;NA;NA;NA;NA;1998;2015
116;Bucine;TOS01004568;OD:TOS01004568;43.484233;11.620751;NA;NA;Toscana;NA;1996;2013;NA;NA;NA;NA;NA;NA;1998;2015
117;Montevarchi;TOS01004571;OD:TOS01004571;43.542615;11.567136;NA;NA;Toscana;NA;2002;2013;1992;2015;NA;NA;NA;NA;1998;2015
